1 100 0.003000
1 200 0.023000
1 300 0.072000
1 400 0.170000
1 500 0.328000
1 600 0.580000
1 700 0.897000
1 800 1.342000
1 900 1.905000
1 1000 2.611000
1 1100 3.482000
1 1200 4.605000
1 1300 5.817000
1 1400 7.283000
1 1500 8.918000
1 1600 10.848000
1 1700 12.969000
1 1800 15.451000
1 1900 18.418000
1 2000 21.305000
1 2100 24.550000
1 2200 28.144000
1 2300 32.091000
1 2400 36.483000
1 2500 41.434000
1 2600 47.758000
1 2700 54.709000
1 2800 61.108000
1 2900 70.342000
1 3000 75.267000
0 100 0.002000
0 200 0.009000
0 300 0.016000
0 400 0.048000
0 500 0.072000
0 600 0.120000
0 700 0.190000
0 800 0.267000
0 900 0.392000
0 1000 0.529000
0 1100 0.704000
0 1200 0.910000
0 1300 1.156000
0 1400 1.466000
0 1500 1.736000
0 1600 2.143000
0 1700 2.606000
0 1800 3.110000
0 1900 3.672000
0 2000 4.350000
0 2100 5.080000
0 2200 5.961000
0 2300 7.116000
0 2400 7.617000
0 2500 8.341000
0 2600 9.357000
0 2700 11.004000
0 2800 12.307000
0 2900 12.972000
0 3000 14.628000
