0 100 0.001000
0 200 0.000000
0 300 0.000000
0 400 0.000000
0 500 0.001000
0 600 0.001000
0 700 0.002000
0 800 0.002000
0 900 0.004000
0 1000 0.004000
2 100 0.001000
2 200 0.000000
2 300 0.001000
2 400 0.001000
2 500 0.001000
2 600 0.001000
2 700 0.001000
2 800 0.002000
2 900 0.002000
2 1000 0.003000
3 100 0.001000
3 200 0.001000
3 300 0.001000
3 400 0.001000
3 500 0.001000
3 600 0.002000
3 700 0.002000
3 800 0.002000
3 900 0.002000
3 1000 0.002000
4 100 0.001000
4 200 0.001000
4 300 0.002000
4 400 0.001000
4 500 0.001000
4 600 0.001000
4 700 0.001000
4 800 0.001000
4 900 0.001000
4 1000 0.003000
5 100 0.001000
5 200 0.001000
5 300 0.001000
5 400 0.001000
5 500 0.001000
5 600 0.002000
5 700 0.002000
5 800 0.002000
5 900 0.002000
5 1000 0.002000
6 100 0.008000
6 200 0.002000
6 300 0.002000
6 400 0.002000
6 500 0.001000
6 600 0.002000
6 700 0.002000
6 800 0.002000
6 900 0.003000
6 1000 0.003000
8 100 0.001000
8 200 0.002000
8 300 0.002000
8 400 0.002000
8 500 0.002000
8 600 0.002000
8 700 0.002000
8 800 0.002000
8 900 0.003000
8 1000 0.003000
10 100 0.003000
10 200 0.002000
10 300 0.002000
10 400 0.003000
10 500 0.002000
10 600 0.002000
10 700 0.003000
10 800 0.003000
10 900 0.002000
10 1000 0.003000
